sex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
female,48.02555447,48.02706064,48.03307179,48.0891572,48.11451323,48.16419006,48.36301729,48.67792625,49.09160577,49.35910603,49.68899061,49.88673872,50.20907572,50.24639817,50.33811922,50.46783473,50.62809925,50.83902866,50.84861576,50.91583914,50.91836375,50.92491245,50.93826962,50.95012315,50.9908917,51.01817808,51.05379865,51.06126932
male,80.16857291,80.05060442,79.9457151,79.75515396,79.61901655,79.41760158,79.18952909,79.02700891,78.83580977,78.7407452,78.47622457,78.15552644,77.88440866,77.57206307,77.45212761,77.27324733,77.01193074,76.81443273,76.6321006,76.32267935,76.03878902,75.86210772,75.76683397,75.62998087,75.45208427,75.32835298,75.13245183,75.02537698
